GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg.decoder,Block,0,15,0,0,0,5,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg.decoder,ZigZag,17,277,2,2,3,4,2,3,1,2
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg.decoder,JpegInputStream,26,94,4,12,4,23,3,9,0,4
Apache Commons Imaging,org.apache.commons.imaging,AbstractImageParser,199,293,20,18,41,45,33,23,19,18
Apache Commons Imaging,org.apache.commons.imaging,ImageInfo.CompressionAlgorithm,0,112,0,0,0,9,0,3,0,3
Apache Commons Imaging,org.apache.commons.imaging,ImageFormats,1,312,1,1,0,30,1,5,0,5
Apache Commons Imaging,org.apache.commons.imaging,ImagingFormatException,5,6,0,0,2,2,1,1,1,1
Apache Commons Imaging,org.apache.commons.imaging,FormatCompliance,126,258,7,21,25,46,8,20,3,11
Apache Commons Imaging,org.apache.commons.imaging,ImagingRuntimeException,5,4,0,0,2,2,1,1,1,1
Apache Commons Imaging,org.apache.commons.imaging,ImagingOverflowException,0,4,0,0,0,2,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging,ImageInfo.ColorType,0,77,0,0,0,6,0,3,0,3
Apache Commons Imaging,org.apache.commons.imaging,ImagingException,4,181,0,20,2,27,1,14,1,4
Apache Commons Imaging,org.apache.commons.imaging,ImagingConstants,0,4,0,0,0,1,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging,ImageDump,62,102,10,4,11,24,9,8,0,7
Apache Commons Imaging,org.apache.commons.imaging,ImagingParameters,21,20,0,0,7,7,4,6,4,6
Apache Commons Imaging,org.apache.commons.imaging,PixelDensity,124,43,16,4,21,12,21,6,11,6
Apache Commons Imaging,org.apache.commons.imaging,Imaging,164,876,52,86,35,151,57,63,13,38
Apache Commons Imaging,org.apache.commons.imaging,ColorTools,321,0,10,0,62,0,21,0,16,0
Apache Commons Imaging,org.apache.commons.imaging,ImageInfo,5,380,0,4,2,69,1,24,1,22
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PpmWriter,28,106,2,6,6,25,2,4,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,WhiteSpaceReader,5,90,2,16,1,23,2,12,0,5
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PamFileInfo.GrayscaleTupleReader,0,73,0,2,0,11,0,4,0,3
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PpmFileInfo,62,125,1,5,10,25,2,11,1,9
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PbmFileInfo,37,80,5,7,7,25,4,13,1,10
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PbmWriter,154,0,16,0,39,0,10,0,2,0
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PamFileInfo.ColorTupleReader,0,99,0,2,0,13,0,4,0,3
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PamFileInfo,57,85,5,5,7,24,5,11,1,9
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PgmFileInfo,33,108,0,6,4,23,1,12,1,9
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PamWriter,0,140,0,4,0,30,0,4,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PgmWriter,116,0,8,0,26,0,6,0,2,0
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,AbstractFileInfo,45,84,8,10,10,23,6,8,0,5
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PnmImagingParameters,14,12,0,0,4,4,2,3,2,3
Apache Commons Imaging,org.apache.commons.imaging.formats.pnm,PnmImageParser,102,492,21,36,26,112,22,34,3,18
Apache Commons Imaging,org.apache.commons.imaging.formats.psd.datareaders,CompressedDataReader,0,129,0,6,0,25,0,5,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.psd.datareaders,UncompressedDataReader,84,0,6,0,18,0,5,0,2,0
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegPhotoshopMetadata,0,37,1,3,0,11,1,3,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegImageParser.new JpegUtils.Visitor() {...},3,36,1,5,2,7,2,5,1,3
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegImageMetadata,136,157,29,13,43,43,23,12,4,10
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegImageParser,544,1080,159,104,125,218,113,54,5,22
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegImageParser.new JpegUtils.Visitor() {...},3,30,1,5,2,7,2,5,1,3
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegImageParser.new JpegUtils.Visitor() {...},3,32,2,4,2,7,3,4,1,3
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegImageParser.new JpegUtils.Visitor() {...},3,32,1,5,2,7,2,5,1,3
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegImageParser.new JpegUtils.Visitor() {...},13,127,4,17,3,22,5,11,1,3
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegImagingParameters,0,3,0,0,0,1,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegUtils.new JpegUtils.Visitor() {...},0,47,0,0,0,7,0,4,0,4
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegConstants,0,542,0,0,0,14,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg,JpegUtils,46,166,26,26,23,41,26,20,0,4
Apache Commons Imaging,org.apache.commons.imaging.formats.png.scanlinefilters,ScanlineFilterPaeth,0,105,0,16,0,26,0,11,0,3
Apache Commons Imaging,org.apache.commons.imaging.formats.png.scanlinefilters,ScanlineFilterUp,0,34,0,4,0,6,0,4,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.png.scanlinefilters,ScanlineFilterAverage,0,57,0,6,0,14,0,5,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.png.scanlinefilters,ScanlineFilterNone,0,11,0,0,0,3,0,2,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.png.scanlinefilters,ScanlineFilterSub,0,42,0,4,0,9,0,4,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.xpm,XpmImagingParameters,0,3,0,0,0,1,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.xpm,XpmImageParser.XpmHeader,89,35,4,0,10,12,3,1,1,1
Apache Commons Imaging,org.apache.commons.imaging.formats.xpm,XpmImageParser,472,1646,68,109,87,262,63,54,3,24
Apache Commons Imaging,org.apache.commons.imaging.formats.xpm,XpmImageParser.PaletteEntry,20,6,7,1,7,2,4,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.palette,ColorGroupCut,0,30,0,2,0,10,0,3,0,2
Apache Commons Imaging,org.apache.commons.imaging.palette,ColorSpaceSubset.RgbComparator,0,9,0,0,0,2,0,2,0,2
Apache Commons Imaging,org.apache.commons.imaging.palette,ColorComponent,0,46,0,0,0,6,0,3,0,3
Apache Commons Imaging,org.apache.commons.imaging.palette,QuantizedPalette,2,171,1,9,0,19,1,9,0,5
Apache Commons Imaging,org.apache.commons.imaging.palette,ColorCountComparator,2,39,1,4,1,8,1,5,0,2
Apache Commons Imaging,org.apache.commons.imaging.palette,MedianCutQuantizer,26,295,6,24,5,57,6,13,0,4
Apache Commons Imaging,org.apache.commons.imaging.palette,MedianCutPalette,0,22,0,2,0,7,0,3,0,2
Apache Commons Imaging,org.apache.commons.imaging.palette,MostPopulatedBoxesMedianCut,32,270,15,22,12,57,15,7,0,2
Apache Commons Imaging,org.apache.commons.imaging.palette,SimplePalette,0,39,0,4,0,9,0,6,0,4
Apache Commons Imaging,org.apache.commons.imaging.palette,ColorGroup,140,300,19,11,18,51,12,8,2,3
Apache Commons Imaging,org.apache.commons.imaging.palette,Dithering,0,313,0,28,0,56,0,16,0,2
Apache Commons Imaging,org.apache.commons.imaging.palette,ColorCount,20,34,4,0,5,7,4,1,2,1
Apache Commons Imaging,org.apache.commons.imaging.palette,PaletteFactory.DivisionCandidate,0,9,0,0,0,4,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.palette,ColorSpaceSubset,426,218,12,6,37,38,10,9,4,6
Apache Commons Imaging,org.apache.commons.imaging.palette,PaletteFactory,411,762,47,87,73,162,31,53,3,14
Apache Commons Imaging,org.apache.commons.imaging.palette,LongestAxisMedianCut,41,224,11,22,8,47,10,13,0,5
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,GdalLibraryTagConstants,0,30,0,0,0,4,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,TiffDirectoryType,24,110,4,0,4,24,3,3,1,3
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,AdobePageMaker6TagConstants,0,87,0,0,0,8,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,MicrosoftTagConstants,0,83,0,0,0,8,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,AdobePhotoshopTagConstants,0,30,0,0,0,4,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,TiffEpTagConstants,0,227,0,0,0,20,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,DcfTagConstants,0,53,0,0,0,6,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,GeoTiffTagConstants,0,90,0,0,0,9,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,AliasSketchbookProTagConstants,0,18,0,0,0,2,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,TiffConstants,0,3,0,0,0,1,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,WangTagConstants,0,18,0,0,0,2,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,TiffPlanarConfiguration,2,31,1,2,1,9,1,4,0,3
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,MicrosoftHdPhotoTagConstants,0,408,0,0,0,73,0,2,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,Tiff4TagConstants,0,17,0,0,0,2,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,ExifTagConstants,0,1573,0,0,0,136,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,DngTagConstants,0,937,0,0,0,80,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,OceScanjobTagConstants,0,54,0,0,0,5,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,TiffTagConstants,0,892,0,0,0,77,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,Rfc2301TagConstants,0,156,0,0,0,14,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,MolecularDynamicsGelTagConstants,0,100,0,0,0,10,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,GpsTagConstants,0,401,0,0,0,35,0,2,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.constants,HylaFaxTagConstants,0,52,0,0,0,6,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.icc,IccTag,37,253,1,7,8,27,2,8,1,5
Apache Commons Imaging,org.apache.commons.imaging.icc,IccTagDataTypes,0,64,0,0,0,13,0,4,0,4
Apache Commons Imaging,org.apache.commons.imaging.icc,CachingInputStream,8,25,0,0,3,8,2,3,2,3
Apache Commons Imaging,org.apache.commons.imaging.icc,IccProfileParser,151,365,27,21,36,60,27,10,6,7
Apache Commons Imaging,org.apache.commons.imaging.icc,IccTagTypes,6,353,0,0,2,44,2,3,2,3
Apache Commons Imaging,org.apache.commons.imaging.icc,IccProfileInfo,13,346,1,5,4,47,3,10,2,8
Apache Commons Imaging,org.apache.commons.imaging.icc,IccTagDataTypes.new IccTagDataTypes() {...},0,51,0,0,0,7,0,2,0,2
Apache Commons Imaging,org.apache.commons.imaging.icc,IccTagDataTypes.new IccTagDataTypes() {...},84,8,0,0,6,1,1,1,1,1
Apache Commons Imaging,org.apache.commons.imaging.icc,IccTagDataTypes.new IccTagDataTypes() {...},12,8,0,0,3,1,1,1,1,1
Apache Commons Imaging,org.apache.commons.imaging.icc,IccTagDataTypes.new IccTagDataTypes() {...},12,8,0,0,3,1,1,1,1,1
Apache Commons Imaging,org.apache.commons.imaging.icc,IccTagDataTypes.new IccTagDataTypes() {...},0,56,0,0,0,8,0,2,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.icns,Rle24Compression,0,107,1,13,0,23,1,7,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.icns,IcnsImageParser,270,214,31,7,43,42,24,13,6,12
Apache Commons Imaging,org.apache.commons.imaging.formats.icns,IcnsImagingParameters,3,0,0,0,1,0,1,0,1,0
Apache Commons Imaging,org.apache.commons.imaging.formats.icns,IcnsImageParser.IcnsContents,0,9,0,0,0,4,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.icns,IcnsType,129,667,14,16,17,42,13,16,3,11
Apache Commons Imaging,org.apache.commons.imaging.formats.icns,IcnsImageParser.IcnsHeader,38,9,0,0,5,4,1,1,1,1
Apache Commons Imaging,org.apache.commons.imaging.formats.icns,IcnsDecoder,95,1636,24,77,18,109,21,41,1,9
Apache Commons Imaging,org.apache.commons.imaging.formats.icns,IcnsImageParser.IcnsElement,59,16,2,0,9,6,2,2,1,2
Apache Commons Imaging,org.apache.commons.imaging.formats.png,BitParser,56,90,3,7,7,19,3,5,0,3
Apache Commons Imaging,org.apache.commons.imaging.formats.png,ScanExpediterInterlaced,260,0,8,0,32,0,8,0,4,0
Apache Commons Imaging,org.apache.commons.imaging.formats.png,PngImagingParameters,14,59,0,2,4,16,2,12,2,11
Apache Commons Imaging,org.apache.commons.imaging.formats.png,PngWriter,268,1004,20,82,38,226,20,49,2,16
Apache Commons Imaging,org.apache.commons.imaging.formats.png,PngColorType,3,199,2,10,1,26,2,13,0,9
Apache Commons Imaging,org.apache.commons.imaging.formats.png,AbstractPngText,0,9,0,0,0,4,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.png,AbstractPngText.Ztxt,0,5,0,0,0,2,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.png,PngImageInfo,0,36,0,0,0,6,0,3,0,3
Apache Commons Imaging,org.apache.commons.imaging.formats.png,AbstractPngText.Itxt,0,11,0,0,0,4,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.png,AbstractPngText.Text,0,5,0,0,0,2,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.png,InterlaceMethod,0,28,0,0,0,6,0,3,0,3
Apache Commons Imaging,org.apache.commons.imaging.formats.png,PngConstants,0,39,0,0,0,1,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.png,PngWriter.ImageHeader,0,24,0,0,0,9,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.png,GammaCorrection,37,108,2,4,3,18,2,6,0,5
Apache Commons Imaging,org.apache.commons.imaging.formats.png,PngImageMetadata,87,27,5,1,23,9,7,5,4,5
Apache Commons Imaging,org.apache.commons.imaging.formats.png,ScanExpediterSimple,0,73,0,4,0,13,0,4,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.png,FilterType,0,33,0,0,0,2,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.png,PngImageParser,538,1073,64,96,101,218,55,53,8,18
Apache Commons Imaging,org.apache.commons.imaging.formats.png,Extension,0,15,0,0,0,3,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.png,PhysicalScale,0,53,0,4,0,12,0,10,0,8
Apache Commons Imaging,org.apache.commons.imaging.formats.png,ChunkType,2,275,2,6,1,47,2,9,0,7
Apache Commons Imaging,org.apache.commons.imaging.formats.png,AbstractScanExpediter,57,316,7,25,9,68,7,21,0,8
Apache Commons Imaging,org.apache.commons.imaging.formats.png,PngCrc,0,106,0,10,0,21,0,12,0,7
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.photometricinterpreters,PhotometricInterpreterCieLab,33,0,0,0,8,0,2,0,2,0
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.photometricinterpreters,PhotometricInterpreterRgb,0,42,0,0,0,9,0,2,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.photometricinterpreters,PhotometricInterpreter,0,26,0,0,0,8,0,2,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.photometricinterpreters,PhotometricInterpreterYCbCr,178,8,0,0,22,2,3,1,3,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.photometricinterpreters,PhotometricInterpreterLogLuv.RgbValues,0,3,0,0,0,1,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.photometricinterpreters,PhotometricInterpreterLogLuv.TristimulusValues,0,3,0,0,0,1,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.photometricinterpreters,PhotometricInterpreterLogLuv,0,330,0,16,0,59,0,12,0,4
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.photometricinterpreters,PhotometricInterpreterCmyk,0,36,0,0,0,9,0,2,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.photometricinterpreters,PhotometricInterpreterBiLevel,0,50,0,2,0,13,0,3,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.tiff.photometricinterpreters,PhotometricInterpreterPalette,14,138,0,4,4,22,0,5,0,3
